filename,type,asm_d0,asm_d1,asm_d2,asm_d3,gar_d0,gar_d1,gar_d2,gar_d3
spec_12.spectra,normal,0.6907829619521767,0.6907829619521767,1,-inf,0.8764637805650192,0.8764637805650192,1,-inf
spec_9.spectra,normal,0.6864138626239067,0.6864138626239067,1,-inf,0.8764637805650192,0.8764637805650192,1,-inf
spec_5.spectra,normal,0.6789972194904477,0.6789972194904477,1,-inf,0.8764637805650192,0.8764637805650192,1,-inf
spec_1.spectra,normal,0.686413862623907,0.686413862623907,1,-inf,0.8764637805650192,0.8764637805650192,1,-inf
spec_13.spectra,normal,0.6907829619521767,0.6907829619521767,1,-inf,0.8764637805650192,0.8764637805650192,1,-inf
spec_4.spectra,normal,0.6907829619521767,0.6907829619521767,1,-inf,0.8764637805650192,0.8764637805650192,1,-inf
spec_0.spectra,normal,0.6864138626239067,0.6864138626239067,1,-inf,0.8764637805650192,0.8764637805650192,1,-inf
spec_8.spectra,normal,0.6817585862711184,0.6817585862711184,1,-inf,0.8764637805650192,0.8764637805650192,1,-inf
spec_11.spectra,normal,0.6907829619521767,0.6907829619521767,1,-inf,0.8764637805650192,0.8764637805650192,1,-inf
spec_6.spectra,normal,0.6907829619521767,0.6907829619521767,1,-inf,0.8764637805650192,0.8764637805650192,1,-inf
spec_2.spectra,normal,0.6817585862711184,0.6817585862711184,1,-inf,0.8764637805650192,0.8764637805650192,1,-inf
spec_10.spectra,normal,0.6789972194904477,0.6789972194904477,1,-inf,0.8764637805650192,0.8764637805650192,1,-inf
spec_14.spectra,normal,0.6907829619521767,0.6907829619521767,1,-inf,0.8764637805650192,0.8764637805650192,1,-inf
spec_7.spectra,normal,0.686413862623907,0.686413862623907,1,-inf,0.8764637805650192,0.8764637805650192,1,-inf
spec_3.spectra,normal,0.6907829619521767,0.6907829619521767,1,-inf,0.8764637805650192,0.8764637805650192,1,-inf
ideal.spectra,ideal,0.6907829619521767,0.6907829619521767,1,-inf,0.8764637805650192,0.8764637805650192,1,-inf
strong.spectra,original,0.6767721774954438,0.6767721774954438,1,-inf,0.8764637805650192,0.8764637805650192,1,-inf
lift_0.spectra,trivial,0.6907829619521767,0.6907829619521767,1,-inf,0.8764637805650192,0.8764637805650192,1,-inf
